"ID","Sex","Year","BirthYear","FinalYear","ARS1yr","GroupSize","HelpersF","Siblings","TQ","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge"
335,1,2003,2003,2004,0,3,0,0,3904.914362,1222,1287,1684,5.78356164383562,5.78356164383562,2.75616438356164
335,1,2004,2003,2004,0,3,0,0,3904.914362,1222,1287,1684,5.78356164383562,5.78356164383562,2.75616438356164
841,0,1996,1995,1996,0,4,1,0,49918.50431,454,221,221,2.5013698630137,6.63013698630137,6.63013698630137
841,0,1995,1995,1996,0,4,1,0,49918.50431,454,221,221,2.5013698630137,6.63013698630137,6.63013698630137
867,1,1998,1995,1998,0,4,1,0,31100.67834,823,562,562,1.11506849315068,1.93698630136986,1.93698630136986
867,1,1997,1995,1998,1,4,1,0,31100.67834,823,562,562,1.11506849315068,1.93698630136986,1.93698630136986
867,1,1995,1995,1998,0,4,1,0,31100.67834,823,562,562,1.11506849315068,1.93698630136986,1.93698630136986
867,1,1996,1995,1998,0,4,1,0,31100.67834,823,562,562,1.11506849315068,1.93698630136986,1.93698630136986
868,1,1998,1995,1998,1,2,0,0,34684.42647,169,507,21,6.80821917808219,1.98904109589041,12.3616438356164
868,1,1996,1995,1998,0,2,0,0,34684.42647,169,507,21,6.80821917808219,1.98904109589041,12.3616438356164
868,1,1997,1995,1998,1,2,0,0,34684.42647,169,507,21,6.80821917808219,1.98904109589041,12.3616438356164
868,1,1995,1995,1998,0,2,0,0,34684.42647,169,507,21,6.80821917808219,1.98904109589041,12.3616438356164
869,0,1996,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,1999,1995,2010,2,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2007,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,1998,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,1995,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,1997,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2010,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2009,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2008,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2000,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2006,1995,2010,1,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2001,1995,2010,1,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2005,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2003,1995,2010,0,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2002,1995,2010,1,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
869,0,2004,1995,2010,1,2,0,0,95693.34268,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589
880,0,1999,1995,1999,0,4,0,0,33474.996155,443,200,200,2.95616438356164,6.86849315068493,6.86849315068493
880,0,1997,1995,1999,1,4,0,0,33474.996155,443,200,200,2.95616438356164,6.86849315068493,6.86849315068493
880,0,1995,1995,1999,0,4,0,0,33474.996155,443,200,200,2.95616438356164,6.86849315068493,6.86849315068493
880,0,1998,1995,1999,0,4,0,0,33474.996155,443,200,200,2.95616438356164,6.86849315068493,6.86849315068493
880,0,1996,1995,1999,0,4,0,0,33474.996155,443,200,200,2.95616438356164,6.86849315068493,6.86849315068493
884,1,1998,1995,1998,0,3,1,0,59399.30612,469,467,606,3,3,2.08767123287671
884,1,1995,1995,1998,0,3,1,0,59399.30612,469,467,606,3,3,2.08767123287671
884,1,1996,1995,1998,0,3,1,0,59399.30612,469,467,606,3,3,2.08767123287671
884,1,1997,1995,1998,2,3,1,0,59399.30612,469,467,606,3,3,2.08767123287671
885,0,1995,1995,1996,0,2,0,0,70954.401315,172,1861,1861,6.05205479452055,1.15890410958904,1.15890410958904
885,0,1996,1995,1996,0,2,0,0,70954.401315,172,1861,1861,6.05205479452055,1.15890410958904,1.15890410958904
886,1,1997,1995,2000,0,3,0,0,44574.686115,502,215,215,2.0986301369863,7.04931506849315,7.04931506849315
886,1,1999,1995,2000,1,3,0,0,44574.686115,502,215,215,2.0986301369863,7.04931506849315,7.04931506849315
886,1,2000,1995,2000,0,3,0,0,44574.686115,502,215,215,2.0986301369863,7.04931506849315,7.04931506849315
886,1,1998,1995,2000,0,3,0,0,44574.686115,502,215,215,2.0986301369863,7.04931506849315,7.04931506849315
886,1,1996,1995,2000,0,3,0,0,44574.686115,502,215,215,2.0986301369863,7.04931506849315,7.04931506849315
886,1,1995,1995,2000,0,3,0,0,44574.686115,502,215,215,2.0986301369863,7.04931506849315,7.04931506849315
887,1,1996,1995,1997,0,4,0,0,152472.53235,171,877,877,6.57534246575342,1.03561643835616,1.03561643835616
887,1,1997,1995,1997,0,4,0,0,152472.53235,171,877,877,6.57534246575342,1.03561643835616,1.03561643835616
887,1,1995,1995,1997,0,4,0,0,152472.53235,171,877,877,6.57534246575342,1.03561643835616,1.03561643835616
888,1,1996,1995,1997,0,4,0,0,42022.370175,441,860,42,3.01643835616438,1.11232876712329,10.641095890411
888,1,1995,1995,1997,0,4,0,0,42022.370175,441,860,42,3.01643835616438,1.11232876712329,10.641095890411
888,1,1997,1995,1997,0,4,0,0,42022.370175,441,860,42,3.01643835616438,1.11232876712329,10.641095890411
889,1,1995,1995,1996,0,4,1,1,26565.58905,442,609,929,3.01643835616438,2.09315068493151,1.18082191780822
889,1,1996,1995,1996,0,4,1,1,26565.58905,442,609,929,3.01643835616438,2.09315068493151,1.18082191780822
890,1,2000,1995,2000,0,4,1,1,26565.58905,199,609,929,8.7041095890411,2.09315068493151,1.18082191780822
890,1,1998,1995,2000,0,4,1,1,26565.58905,199,609,929,8.7041095890411,2.09315068493151,1.18082191780822
890,1,1995,1995,2000,0,4,1,1,26565.58905,199,609,929,8.7041095890411,2.09315068493151,1.18082191780822
890,1,1999,1995,2000,0,4,1,1,26565.58905,199,609,929,8.7041095890411,2.09315068493151,1.18082191780822
890,1,1996,1995,2000,0,4,1,1,26565.58905,199,609,929,8.7041095890411,2.09315068493151,1.18082191780822
890,1,1997,1995,2000,0,4,1,1,26565.58905,199,609,929,8.7041095890411,2.09315068493151,1.18082191780822
950,0,1996,1995,1996,0,2,0,0,61401.02906,217,293,836,6.91232876712329,6.7972602739726,1.07397260273973
950,0,1995,1995,1996,0,2,0,0,61401.02906,217,293,836,6.91232876712329,6.7972602739726,1.07397260273973
951,0,2000,1995,2002,1,3,0,0,50633.95259,457,507,22,2.88767123287671,1.97808219178082,12.0712328767123
951,0,2001,1995,2002,0,3,0,0,50633.95259,457,507,22,2.88767123287671,1.97808219178082,12.0712328767123
951,0,1996,1995,2002,0,3,0,0,50633.95259,457,507,22,2.88767123287671,1.97808219178082,12.0712328767123
951,0,1997,1995,2002,0,3,0,0,50633.95259,457,507,22,2.88767123287671,1.97808219178082,12.0712328767123
951,0,1998,1995,2002,0,3,0,0,50633.95259,457,507,22,2.88767123287671,1.97808219178082,12.0712328767123
951,0,2002,1995,2002,1,3,0,0,50633.95259,457,507,22,2.88767123287671,1.97808219178082,12.0712328767123
951,0,1995,1995,2002,0,3,0,0,50633.95259,457,507,22,2.88767123287671,1.97808219178082,12.0712328767123
951,0,1999,1995,2002,1,3,0,0,50633.95259,457,507,22,2.88767123287671,1.97808219178082,12.0712328767123
1015,1,1996,1995,1996,1,2,0,0,22775.5426775,832,830,523,1.08219178082192,1.08219178082192,1.95616438356164
