"ID","Sex","BirthYear","FinalYear","GroupSize","HelpersF","Siblings","TQ","TranslocatedF","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge","LRS1YEAR","Event","ReproLifespan"
335,1,2003,2004,3,0,0,3904.914362,0,1222,1287,1684,5.78356164383562,5.78356164383562,2.75616438356164,0,1,0
841,0,1995,1996,4,1,0,49918.50431,0,454,221,221,2.5013698630137,6.63013698630137,6.63013698630137,0,1,0
867,1,1995,1998,4,1,0,31100.67834,0,823,562,562,1.11506849315068,1.93698630136986,1.93698630136986,1,1,1
868,1,1995,1998,2,0,0,34684.42647,0,169,507,21,6.80821917808219,1.98904109589041,12.3616438356164,2,1,2
869,0,1995,2010,2,0,0,95693.34268,0,561,467,467,1.94520547945205,2.8958904109589,2.8958904109589,6,1,9
880,0,1995,1999,4,0,0,33474.996155,0,443,200,200,2.95616438356164,6.86849315068493,6.86849315068493,1,1,3
884,1,1995,1998,3,1,0,59399.30612,0,469,467,606,3,3,2.08767123287671,2,1,1
885,0,1995,1996,2,0,0,70954.401315,0,172,1861,1861,6.05205479452055,1.15890410958904,1.15890410958904,0,1,0
886,1,1995,2000,3,0,0,44574.686115,0,502,215,215,2.0986301369863,7.04931506849315,7.04931506849315,1,1,1
887,1,1995,1997,4,0,0,152472.53235,0,171,877,877,6.57534246575342,1.03561643835616,1.03561643835616,0,1,0
888,1,1995,1997,4,0,0,42022.370175,0,441,860,42,3.01643835616438,1.11232876712329,10.641095890411,0,1,0
889,1,1995,1996,4,1,1,26565.58905,0,442,609,929,3.01643835616438,2.09315068493151,1.18082191780822,0,1,0
890,1,1995,2000,4,1,1,26565.58905,0,199,609,929,8.7041095890411,2.09315068493151,1.18082191780822,0,1,4
949,0,1995,2004,2,0,1,61945.62418,1,524,856,634,2.04931506849315,1.09315068493151,2.04657534246575,NA,0,NA
950,0,1995,1996,2,0,0,61401.02906,0,217,293,836,6.91232876712329,6.7972602739726,1.07397260273973,0,1,0
951,0,1995,2002,3,0,0,50633.95259,0,457,507,22,2.88767123287671,1.97808219178082,12.0712328767123,3,1,4
1015,1,1995,1996,2,0,0,22775.5426775,0,832,830,523,1.08219178082192,1.08219178082192,1.95616438356164,1,1,1
1018,1,1995,2007,3,0,0,40201.74228,0,853,1862,881,1.34794520547945,5.34246575342466,1.21917808219178,8,1,9
1020,1,1995,2002,4,0,0,42022.370175,0,441,436,42,3.24109589041096,2.8986301369863,10.8657534246575,3,1,4
1021,0,1995,1996,4,1,0,44896.73504,0,840,75,597,1.07123287671233,7.8,1.22739726027397,0,1,0
1023,1,1995,1996,3,0,0,36343.769205,0,511,51,2672,1.97260273972603,8.32054794520548,0.953424657534247,0,1,0
1024,0,1995,2007,4,1,0,49918.50431,0,454,507,221,2.89041095890411,1.98082191780822,7.01917808219178,3,1,8
1025,1,1995,1996,4,0,0,28717.475165,0,308,216,216,4.89315068493151,6.93150684931507,6.93150684931507,0,1,0
1026,0,1996,1998,5,1,0,381771.7938,0,608,510,510,2.64383561643836,2.64383561643836,2.64383561643836,0,1,1
1027,1,1995,1996,5,0,0,73215.91514,0,459,176,921,2.88767123287671,6.8,1.09315068493151,0,1,0
1028,1,1995,2000,3,0,0,28978.74053,0,543,545,540,1.94520547945205,1.93972602739726,1.94520547945205,4,1,4
1029,1,1996,2010,3,1,0,79240.81881,0,217,836,836,7.89041095890411,2.05205479452055,2.05205479452055,7,1,8
1030,1,1996,1997,5,1,0,110711.5183,0,459,947,947,3.86575342465753,1.87397260273973,1.87397260273973,0,1,0
1031,1,1996,2010,4,1,0,101424.5573,0,168,605,831,6.94246575342466,2.95342465753425,2.06301369863014,6,1,12
1032,1,1996,2001,4,0,0,71384.19897,0,827,606,176,2.07397260273973,2.95342465753425,7.77808219178082,2,1,3
1033,0,1996,1997,3,1,1,157587.9756,0,297,1862,298,7.45753424657534,6,7.8,0,1,0
1036,0,1995,1998,3,0,0,25975.400695,0,542,673,208,1.98630136986301,1.97808219178082,6.47945205479452,0,1,0
1042,0,1996,2016,2,0,0,121280.7069,0,1043,559,559,0.96986301369863,2.94794520547945,2.94794520547945,9,1,11
1045,1,1996,2001,2,0,0,59924.91599,0,503,470,470,3.04109589041096,3.94520547945205,3.94520547945205,2,1,5
1049,0,1996,2003,3,1,0,37106.82432,0,500,494,494,5.22465753424658,6.06027397260274,6.06027397260274,1,1,4
1051,0,1996,1998,2,0,0,53086.90394,0,858,857,857,2.08767123287671,2.08767123287671,2.08767123287671,0,1,0
1059,0,1996,2004,3,1,0,316460.6486,0,872,602,873,1.98082191780822,3.01917808219178,1.98082191780822,4,1,5
1060,0,1996,1998,2,0,1,205628.1259,0,675,549,846,2.94246575342466,2.94246575342466,2.04109589041096,0,1,0
1061,1,1996,1998,2,0,0,124449.1233,0,595,215,495,3.05753424657534,8.00821917808219,3.05753424657534,0,1,0
1062,1,1996,1999,2,0,0,28239.03739,0,835,860,860,2.12876712328767,2.04109589041096,2.04109589041096,1,1,1
1063,1,1996,2000,3,1,1,23163.17749,0,528,178,178,3.01643835616438,7.85753424657534,7.85753424657534,2,1,1
1130,0,1996,2000,5,1,0,381771.7938,0,163,510,510,8.34794520547945,3.04657534246575,3.04657534246575,1,1,1
1151,1,1996,1999,3,0,1,38594.54044,0,542,547,208,2.95616438356164,2.95068493150685,7.44931506849315,0,1,0
1152,0,1997,2002,4,1,0,99126.94,0,199,609,609,10.4328767123288,3.82191780821918,3.82191780821918,1,1,1
1153,1,1996,1999,2,0,0,296188.0118,0,508,467,602,3.34520547945205,4.25205479452055,3.33972602739726,0,1,0
1154,1,1996,2000,2,0,0,123223.3839,0,855,877,854,2.02739726027397,1.93972602739726,2.02739726027397,1,1,1
1156,1,1996,2001,4,1,1,77104.52608,0,454,216,221,3.90684931506849,7.94794520547945,8.03561643835616,2,1,1
1157,1,1996,1998,4,1,1,77104.52608,0,454,221,221,3.90684931506849,8.03561643835616,8.03561643835616,0,1,0
1159,1,1996,1999,3,1,1,157587.9756,0,297,634,298,7.48493150684931,2.98356164383562,7.82739726027397,0,1,1
1160,0,1996,1999,5,0,1,35776.35621,0,450,629,629,3.92328767123288,2.98904109589041,2.98904109589041,2,1,1
1161,0,1996,2001,4,1,0,43363.02607,0,308,216,216,6.24931506849315,8.28767123287671,8.28767123287671,1,1,1
1162,1,1996,1998,3,1,0,37106.82432,0,500,494,494,5.52054794520548,6.35616438356164,6.35616438356164,0,1,0
1163,1,1996,1997,2,0,0,24390.5184,0,912,922,922,2.46575342465753,2.43013698630137,2.43013698630137,0,1,0
1164,1,1996,2000,3,0,0,50341.73202,0,502,293,215,2.99452054794521,7.81369863013699,7.94520547945205,0,1,1
1165,1,1996,2005,2,0,0,92110.67211,0,924,220,220,2.08767123287671,7.90684931506849,7.90684931506849,5,1,9
1167,1,1996,2000,5,0,1,35776.35621,0,450,629,629,3.91232876712329,2.97808219178082,2.97808219178082,0,1,1
1168,1,1996,2001,3,0,1,94645.31274,0,938,550,550,2.41643835616438,3.31232876712329,3.31232876712329,1,1,1
1169,1,1996,1997,2,0,1,59280.31859,0,558,557,557,2.97260273972603,2.97260273972603,2.97260273972603,0,1,0
1170,0,1997,2008,2,0,0,20666.11186,0,915,941,941,2.93698630136986,2.86849315068493,2.86849315068493,3,1,8
1171,1,1996,2010,3,0,1,38594.54044,0,542,547,208,2.97534246575342,2.96986301369863,7.46849315068493,4,1,10
1172,0,1996,2010,3,0,0,34576.84975,0,543,540,540,2.97534246575342,2.97534246575342,2.97534246575342,5,1,10
1173,0,1996,2001,3,0,0,94645.31274,0,677,673,550,2.96986301369863,2.96986301369863,2.96986301369863,0,1,2
1174,1,1996,1997,3,0,0,82667.53364,0,531,776,776,2.99178082191781,2.06849315068493,2.06849315068493,1,1,1
1175,0,1996,1998,3,1,0,18566.52998,0,641,637,637,3.32328767123288,3.32328767123288,3.32328767123288,0,1,0
1176,1,1996,1998,2,0,1,190971.1299,0,774,633,2715,2.06301369863014,2.98356164383562,0.975342465753425,0,1,1
1179,1,1997,2000,3,1,0,244570.0448,0,297,836,1862,8.29315068493151,2.91232876712329,6.83561643835616,1,1,1
1180,0,1996,1998,3,0,1,94645.31274,0,938,547,550,2.41369863013699,3.31232876712329,3.30958904109589,0,1,0
1181,1,1997,1998,2,0,0,91971.18413,0,1182,851,851,0.928767123287671,2.98356164383562,2.98356164383562,0,1,0
1183,1,1996,1997,2,0,1,190971.1299,0,774,864,2715,2.07945205479452,2.02739726027397,0.991780821917808,0,1,0
1185,1,1996,2000,3,0,1,135726.869,0,862,854,864,2.05205479452055,2.06575342465753,2.04657534246575,1,1,3
1186,0,1996,2002,2,0,0,90719.6368,0,604,603,921,3.01917808219178,3.01917808219178,2.13698630136986,3,1,5
1187,1,1996,2010,3,0,0,41623.78668,0,596,497,497,3.35890410958904,3.35890410958904,3.35890410958904,6,1,8
1188,1,1996,2004,3,0,0,58784.0367,1,878,879,879,2.3041095890411,2.3013698630137,2.3013698630137,NA,0,NA
1190,0,1996,2004,2,0,0,24456.30658,0,942,331,852,2.05479452054795,7.83835616438356,2.05479452054795,2,1,6
1196,1,1996,2009,3,0,0,47980.57627,0,522,1015,1015,3.02191780821918,1.06575342465753,1.06575342465753,7,1,10
1197,0,1996,1998,2,0,1,205628.1259,0,675,846,846,3.0027397260274,2.1013698630137,2.1013698630137,0,1,0
1199,1,1996,2008,3,0,1,135726.869,0,862,854,864,2.03287671232877,2.04657534246575,2.02739726027397,4,1,8
1200,0,1996,2006,3,0,0,58784.0367,0,878,453,879,1.96438356164384,3.93698630136986,1.96164383561644,3,1,7
1201,0,1996,1998,3,0,0,34576.84975,0,543,540,540,3.35616438356164,3.35616438356164,3.35616438356164,0,1,0
1202,1,1996,1998,4,0,0,59399.30612,0,469,467,606,4.3013698630137,4.3013698630137,3.38904109589041,0,1,0
1203,1,1996,1999,4,0,0,73396.82642,0,466,51,51,2.95890410958904,9.39178082191781,9.39178082191781,0,1,1
1209,1,1997,2004,4,1,1,105311.6815,1,458,867,499,4.93424657534247,2.03835616438356,4.02739726027397,NA,0,NA
1213,1,1997,2005,3,1,1,68299.32416,0,455,1212,1212,4.96438356164384,0.994520547945206,0.994520547945206,2,1,5
1214,1,1997,2006,2,0,0,111545.576,0,503,470,470,3.74520547945205,4.64931506849315,4.64931506849315,2,1,5
1215,1,1997,1999,3,1,0,71472.13841,0,1043,559,559,2.02465753424658,4.0027397260274,4.0027397260274,0,1,0
1216,0,1997,1998,3,1,0,72766.80497,0,308,216,216,6.68493150684932,8.72328767123288,8.72328767123288,0,1,0
1219,0,1996,1998,3,1,0,86332.02942,0,458,1039,499,4.3013698630137,1.37260273972603,3.39452054794521,0,1,0
1221,1,1997,2004,2,0,0,56237.10445,0,1246,868,507,0.465753424657534,1.96712328767123,3.95616438356164,2,1,3
1222,0,1997,2004,2,0,0,47686.01172,1,927,501,501,3.44109589041096,3.60547945205479,3.60547945205479,NA,0,NA
1223,1,1997,1998,3,1,0,30758.90707,0,1043,1276,559,2.43287671232877,0.893150684931507,4.41095890410959,0,1,0
1224,1,1997,1998,2,0,0,73132.7197,0,838,215,1167,2.47671232876712,8.67671232876712,0.726027397260274,0,1,0
1225,0,1996,1998,2,0,0,29084.83727,0,635,636,636,3.39178082191781,3.39178082191781,3.39178082191781,0,1,0
1227,0,1997,1999,2,0,0,59691.32372,0,880,436,436,2.38630136986301,5.0027397260274,5.0027397260274,0,1,0
1229,1,1997,1998,2,0,0,120827.339,0,500,494,494,6.64109589041096,7.47671232876712,7.47671232876712,0,1,0
1230,0,1997,1998,4,0,0,275232.3175,0,469,467,606,5.01369863013699,5.01369863013699,4.1013698630137,0,1,0
1231,0,1997,1998,2,0,0,20666.11186,0,915,941,941,3.23013698630137,3.16164383561644,3.16164383561644,0,1,0
1234,1,1997,2000,3,1,0,72541.18661,0,168,854,884,8.01917808219178,3.06027397260274,1.94246575342466,1,1,1
